race_id,track,race_number,distance,surface,date_time,race_description,available_bets
59,EMD,R3,6f,D,05-27-2016<br>19:34,EMD R3 6f D 05-27-2016<br>19:34 Pacific ,EMD R3 6f D 05-27-2016<br>19:34 Pacific 
60,EMD,R4,8f,D,05-27-2016<br>20:02,EMD R4 8f D 05-27-2016<br>20:02 Pacific ,EMD R4 8f D 05-27-2016<br>20:02 Pacific 
61,EMD,R5,6f,D,05-27-2016<br>20:30,EMD R5 6f D 05-27-2016<br>20:30 Pacific ,EMD R5 6f D 05-27-2016<br>20:30 Pacific 
62,EMD,R6,6f,D,05-27-2016<br>20:58,EMD R6 6f D 05-27-2016<br>20:58 Pacific ,EMD R6 6f D 05-27-2016<br>20:58 Pacific 
63,EMD,R7,5.5f,D,05-27-2016<br>21:25,EMD R7 5.5f D 05-27-2016<br>21:25 Pacific ,EMD R7 5.5f D 05-27-2016<br>21:25 Pacific 
64,EVD,R1,8.3f,D,05-27-2016<br>15:50,EVD R1 8.3f D 05-27-2016<br>15:50 Pacific ,EVD R1 8.3f D 05-27-2016<br>15:50 Pacific 
65,EVD,R2,5.5f,D,05-27-2016<br>16:17,EVD R2 5.5f D 05-27-2016<br>16:17 Pacific ,EVD R2 5.5f D 05-27-2016<br>16:17 Pacific 
66,EVD,R3,4.5f,D,05-27-2016<br>16:44,EVD R3 4.5f D 05-27-2016<br>16:44 Pacific ,EVD R3 4.5f D 05-27-2016<br>16:44 Pacific 
67,EVD,R4,5.5f,D,05-27-2016<br>17:11,EVD R4 5.5f D 05-27-2016<br>17:11 Pacific ,EVD R4 5.5f D 05-27-2016<br>17:11 Pacific 
68,EVD,R5,8.5f,D,05-27-2016<br>17:38,EVD R5 8.5f D 05-27-2016<br>17:38 Pacific ,EVD R5 8.5f D 05-27-2016<br>17:38 Pacific 
69,EVD,R6,7f,D,05-27-2016<br>18:05,EVD R6 7f D 05-27-2016<br>18:05 Pacific ,EVD R6 7f D 05-27-2016<br>18:05 Pacific 
70,EVD,R7,6f,D,05-27-2016<br>18:32,EVD R7 6f D 05-27-2016<br>18:32 Pacific ,EVD R7 6f D 05-27-2016<br>18:32 Pacific 
71,EVD,R8,6f,D,05-27-2016<br>18:59,EVD R8 6f D 05-27-2016<br>18:59 Pacific ,EVD R8 6f D 05-27-2016<br>18:59 Pacific 
72,EVD,R9,6f,D,05-27-2016<br>19:26,EVD R9 6f D 05-27-2016<br>19:26 Pacific ,EVD R9 6f D 05-27-2016<br>19:26 Pacific 
73,GGX,R1,8f,D,05-27-2016<br>13:45,GGX R1 8f D 05-27-2016<br>13:45 Pacific ,GGX R1 8f D 05-27-2016<br>13:45 Pacific 
74,GGX,R2,5.5f,D,05-27-2016<br>14:20,GGX R2 5.5f D 05-27-2016<br>14:20 Pacific ,GGX R2 5.5f D 05-27-2016<br>14:20 Pacific 
75,GGX,R3,6f,D,05-27-2016<br>14:51,GGX R3 6f D 05-27-2016<br>14:51 Pacific ,GGX R3 6f D 05-27-2016<br>14:51 Pacific 
76,GGX,R4,8f,T,05-27-2016<br>15:20,GGX R4 8f T 05-27-2016<br>15:20 Pacific ,GGX R4 8f T 05-27-2016<br>15:20 Pacific 
77,GGX,R5,6f,D,05-27-2016<br>15:50,GGX R5 6f D 05-27-2016<br>15:50 Pacific ,GGX R5 6f D 05-27-2016<br>15:50 Pacific 
78,GGX,R6,8f,T,05-27-2016<br>16:20,GGX R6 8f T 05-27-2016<br>16:20 Pacific ,GGX R6 8f T 05-27-2016<br>16:20 Pacific 
79,GGX,R7,6f,D,05-27-2016<br>16:50,GGX R7 6f D 05-27-2016<br>16:50 Pacific ,GGX R7 6f D 05-27-2016<br>16:50 Pacific 
80,GPX,R1,7f,D,05-27-2016<br>10:15,GPX R1 7f D 05-27-2016<br>10:15 Pacific ,GPX R1 7f D 05-27-2016<br>10:15 Pacific 
81,GPX,R2,6f,D,05-27-2016<br>10:46,GPX R2 6f D 05-27-2016<br>10:46 Pacific ,GPX R2 6f D 05-27-2016<br>10:46 Pacific 
82,GPX,R3,4.5f,D,05-27-2016<br>11:17,GPX R3 4.5f D 05-27-2016<br>11:17 Pacific ,GPX R3 4.5f D 05-27-2016<br>11:17 Pacific 
83,GPX,R4,5.5f,D,05-27-2016<br>11:49,GPX R4 5.5f D 05-27-2016<br>11:49 Pacific ,GPX R4 5.5f D 05-27-2016<br>11:49 Pacific 
84,GPX,R5,5f,T,05-27-2016<br>12:21,GPX R5 5f T 05-27-2016<br>12:21 Pacific ,GPX R5 5f T 05-27-2016<br>12:21 Pacific 
