race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
15,LASSELL,3.6,4,0,0,0,52.6,0,10,APX,8,5/28/16,1760,T,YL,R,13500,121,0.8418,4,-8.92E-02
15,FOUR LEFT FEET,4.3,5,0,0,0,52.6,0,10,APX,8,5/28/16,1760,T,YL,R,13500,121,0.822,8,-0.109
15,DANCING ROCK,7.1,3,0,0,4.8,52.6,0,10,APX,8,5/28/16,1760,T,YL,R,13500,121,0.8278,7,-0.1032
15,INDY AWESOME,46.5,10,0,0,0,52.6,0,10,APX,8,5/28/16,1760,T,YL,R,13500,121,0.931,1,2.99E-02
16,NOEASYWAYOUT,13.1,6,0,0,0,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,122,0.8347,4,-0.1023
16,HOLY BULLEX,4.9,2,0,4.2,3.6,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,117,0.8655,2,-0.0715
16,CHERNYAHOVSKIY,5.1,3,0,0,3,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,122,0.8266,5,-0.1104
16,OUTLAWJOE,5.9,5,0,0,0,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,122,0.937,1,0.0715
16,SUMMER DISCO,2.9,4,0,0,0,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,119,0.8405,3,-9.65E-02
16,MEAN INTENTIONS,1.4,1,4.8,2.8,2.4,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,122,0.823,6,-0.114
17,FASHION HILL,1.2,1,4.4,3.2,2.4,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,119,0.763,5,-0.1702
17,SISTER CEARI,3.4,2,0,4.2,2.6,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,118,0.8989,2,-3.43E-02
17,HAVINGNOEQUAL,6.7,4,0,0,0,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,124,0.9332,1,3.43E-02
17,TINA OF EKATI,2.5,3,0,0,2.2,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,124,0.7406,6,-0.1926
17,GIFT OF SENSE,13.3,5,0,0,0,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,124,0.8809,4,-5.23E-02
17,MALLORY'S CHANNEL,17.6,6,0,0,0,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,119,0.8984,3,-3.48E-02
18,RABANITO,13.9,3,0,0,5.6,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,119,0.8746,4,-2.15E-02
18,TEN GUITARS,14.3,6,0,0,0,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,116,0.8935,2,-2.60E-03
18,RETURN OF THE ROCK,3.5,5,0,0,0,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,121,0.8249,6,-7.12E-02
18,MENDOTA,1.2,1,4.4,2.8,2.4,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,121,0.7548,7,-0.1413
18,IN THE CHAMBER,3.8,2,0,3.8,3.2,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,121,0.8659,5,-0.0302
