race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,track,RaceNum,Date,DistYrds,surface,TrackCondition,ClassDescriptor,Purse,Weight,PP,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
179,ROLLER BABE,16.8,2,0,10.6,5,35.4,0,7,APX,1,5/28/16,990,D,FT,S,32000,117,1,0.817,3,-7.42E-02
179,HOW SWEET IT IS,4.5,3,0,0,2.6,35.4,0,7,APX,1,5/28/16,990,D,FT,S,32000,117,2,0.7854,5,-0.1058
179,AMAZING PEYTON,7.7,4,0,0,0,35.4,0,7,APX,1,5/28/16,990,D,FT,S,32000,117,3,0.8396,2,-5.16E-02
179,CARABLANCA'S DANCE,11.1,5,0,0,0,35.4,0,7,APX,1,5/28/16,990,D,FT,S,32000,117,4,0.7998,4,-9.14E-02
179,SHACKIN UP,0.4,1,2.8,2.8,2.1,35.4,0,7,APX,1,5/28/16,990,D,FT,S,32000,117,5,0.8912,1,5.16E-02
179,DEMILICIOUS DESIRE,28.2,7,0,0,0,35.4,0,7,APX,1,5/28/16,990,D,FT,S,32000,117,6,0.6862,7,-0.205
179,MAIN STAR,21.7,6,0,0,0,35.4,0,7,APX,1,5/28/16,990,D,FT,S,32000,117,7,0.6901,6,-0.2011
180,MS. ZENERGY,10.5,6,0,0,0,32.4,0,8,APX,2,5/28/16,1430,D,FT,C,12000,121,1,0.8453,5,-4.51E-02
180,DUEL FOOL,5.3,2,0,5.6,4,32.4,0,8,APX,2,5/28/16,1430,D,FT,C,12000,121,2,0.8335,6,-5.69E-02
180,MY MOMENT,2.7,1,7.4,4,3,32.4,0,8,APX,2,5/28/16,1430,D,FT,C,12000,121,3,0.7848,7,-0.1056
180,FLYIN FOR A LIVIN,6.1,3,0,0,4,32.4,0,8,APX,2,5/28/16,1430,D,FT,C,12000,121,4,0.8477,4,-4.27E-02
180,BONNIE BLUE EYES,7.4,7,0,0,0,32.4,0,8,APX,2,5/28/16,1430,D,FT,C,12000,121,5,0.8904,1,1.81E-02
180,BRAZYN APPEAL,7.3,4,0,0,0,32.4,0,8,APX,2,5/28/16,1430,D,FT,C,12000,121,6,0.8723,2,-1.81E-02
180,KANSAS QUEEN,2.4,5,0,0,0,32.4,0,8,APX,2,5/28/16,1430,D,FT,C,12000,121,7,0.8602,3,-0.0302
180,LADY DOZER,31.2,8,0,0,0,32.4,0,8,APX,2,5/28/16,1430,D,FT,C,12000,114,8,0.6601,8,-0.2303
181,G P'S GIRL,6.4,8,0,0,0,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,116,1,0.9109,1,1.50E-02
181,SCATLADYBDANCING,13.6,2,0,11.2,5.6,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,121,2,0.8585,4,-5.24E-02
181,PENELOPE PERFECT,16.1,6,0,0,0,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,121,3,0.8636,3,-4.73E-02
181,LIAR'S SMOKER,2.8,5,0,0,0,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,121,4,0.7904,7,-0.1205
181,NEW ORLEANS LADY,3,7,0,0,0,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,119,5,0.828,5,-8.29E-02
181,YUM YUM,2.2,1,6.4,4.2,3.2,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,121,6,0.793,6,-0.1179
181,WAR ALERT,14.5,3,0,0,5.8,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,121,7,0.8959,2,-1.50E-02
181,ELAINE KOWALESKI,29.3,4,0,0,0,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,121,8,0.7211,9,-0.1898
181,BALTIC STAR,25.8,9,0,0,0,78.4,0,9,APX,3,5/28/16,1870,O,FT,A,33000,121,9,0.7343,8,-0.1766
182,GRANDTOBDANCING,26.5,7,0,0,0,12.4,0,7,APX,4,5/28/16,1430,D,FT,M,13000,122,1,0.7563,7,-0.1408
182,SOFIA'S STAR,11,4,0,0,0,12.4,0,7,APX,4,5/28/16,1430,D,FT,M,13000,119,2,0.8664,2,-3.07E-02
182,CAFERINA,5.7,6,0,0,0,12.4,0,7,APX,4,5/28/16,1430,D,FT,M,13000,119,3,0.8971,1,3.07E-02
182,FAHIONABLY LATE,2.3,2,0,3.6,2.4,12.4,0,7,APX,4,5/28/16,1430,D,FT,M,13000,124,4,0.8375,5,-0.0596
182,REFASHION,4.3,3,0,0,2.6,12.4,0,7,APX,4,5/28/16,1430,D,FT,M,13000,124,5,0.839,4,-5.81E-02
182,GILDED ARGUMENT,12.3,5,0,0,0,12.4,0,7,APX,4,5/28/16,1430,D,FT,M,13000,124,6,0.8485,3,-4.86E-02
182,SACRED CANYON,1.6,1,5.2,3.2,2.4,12.4,0,7,APX,4,5/28/16,1430,D,FT,M,13000,124,7,0.7686,6,-0.1285
183,RELOADED,2.3,4,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,119,1,0.821,6,-4.63E-02
183,MOON TRACK,2.1,2,0,4.2,3,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,124,2,0.7638,8,-0.1034999
183,EL GANADOR,45.1,12,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,117,3,0.8298,5,-3.75E-02
183,MONGOLIAN HOLIDAY,20.3,1,42.6,16.4,7.2,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,119,4,0.6816,12,-0.1857
183,STATURE,40.8,10,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,119,5,0.8067,7,-6.06E-02
183,SUDDEN URGES,3.2,3,0,0,2.8,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,124,6,0.8673,1,9.00E-04
183,STEALTHY TRAVELER,41,11,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,122,7,0.756,9,-0.1113
183,SUPA,7.2,6,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,124,8,0.8528,3,-1.45E-02
183,CHUGGY,30.2,9,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,122,9,0.6989,11,-0.1684
183,OUTSIDE IN,27.6,7,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,119,10,0.7465,10,-0.1208
183,A LUCKY DREAM,44.6,8,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,117,11,0.8664,2,-9.00E-04
183,THEGHOSTBDANCING,44.6,5,0,0,0,156.6,0,12,APX,5,5/28/16,1870,O,FT,M,17000,119,12,0.8345,4,-3.28E-02
184,FLIPCUP,5.1,1,12.2,5.4,3.2,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,116,1,0.8162,7,-7.02E-02
184,TIZ LATELY,37.9,7,0,0,0,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,116,2,0.8441,5,-4.23E-02
184,BROOKLYNSWAY,2.3,3,0,0,2.6,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,123,3,0.8395,6,-4.69E-02
184,BITTY KITTY,11.3,5,0,0,0,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,116,4,0.8758,2,-1.06E-02
184,INNOVATIVE IDEA,22.7,9,0,0,0,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,116,5,0.8579,4,-2.85E-02
184,NO FAULT OF MINE,1.8,2,0,3.6,2.6,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,116,6,0.7686,9,-0.1178
184,CITY OF TRIX,36.1,4,0,0,0,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,116,7,0.7754,8,-0.111
184,ZUBI ZUBI ZU,13.9,8,0,0,0,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,116,8,0.8746,3,-1.18E-02
184,SHE'S NOT HERE,5.7,6,0,0,0,45.6,0,9,APX,6,5/28/16,1980,D,FT,G3,100000,116,9,0.8864,1,1.06E-02
