race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,track,RaceNum,Date,DistYrds,surface,TrackCondition,ClassDescriptor,Purse,Weight,PP,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
465,BRIAR'S GOLD,4.7,4,0,0,0,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,6,0.8202,7,-9.83E-02
465,MR DOUBLE STANDARD,7,1,16,6.6,3.8,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,7,0.8392,5,-7.93E-02
465,PRIZE NATIVE,31.9,5,0,0,0,103.6,0,8,APX,6,5/29/16,1320,D,FT,A,33000,121,8,0.6745,8,-0.244
466,WIN D PRADO,4.8,7,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,1,0.8207,7,-0.1445
466,GRIFFIN THE GREAT,20.7,9,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,2,0.7812,8,-0.184
466,FRONTIER FORCE,18.9,4,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,3,0.9652,1,8.61E-02
466,O NO NOT U AGAIN,12.7,8,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,116,4,0.8645,4,-0.1007
466,POKER PLAYER,7.2,3,0,0,4.6,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,5,0.8389,6,-0.1263
466,GHOST TO GHOST,3.4,5,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,6,0.8791,2,-8.61E-02
466,A NICE SLEWISH BOY,4,6,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,7,0.7765,9,-0.1887
466,W B AND ME,4.3,2,0,6.6,4.6,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,8,0.8528,5,-0.1124
466,VIKING,8.7,1,19.4,9.2,6.2,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,9,0.8769,3,-8.83E-02
466,BALLISTIC TIM,33.2,10,0,0,0,112.8,0,10,APX,7,5/29/16,1760,T,YL,C,15000,121,10,0.7216,10,-0.2436
467,RED REDEMPTION,5.3,1,12.6,7.4,4.4,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,122,1,0.8455,4,-4.37E-02
467,TACTICAL CHARLIE,4.7,7,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,117,2,0.8516,3,-3.76E-02
467,EIGHT GAUGE,37.1,5,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,115,3,0.8001,5,-8.91E-02
467,NOBLE LEADER,21.9,2,0,13.4,7,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,122,4,0.7603,8,-0.1289
467,AS YOU KNOW,16.3,6,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,117,5,0.8892,1,3.05E-02
467,VAN LIER,35.2,8,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,122,6,0.7638,7,-0.1253999
467,LAFLOWMYLAXBRO,3.3,3,0,0,3.2,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,122,7,0.8587,2,-3.05E-02
467,TWO MINUTE MAN,1,4,0,0,0,217.8,0,8,APX,8,5/29/16,1430,D,FT,C,11000,119,8,0.7976,6,-0.0916
468,TRAVELIN TREV,11.6,5,0,0,0,67.8,34.2,6,ARP,3,5/29/16,1760,D,FT,R,6200,124,1,0.9122,1,0.042
468,ZOOKS,1.2,6,0,0,0,67.8,34.2,6,ARP,3,5/29/16,1760,D,FT,R,6200,124,2,0.7586,6,-0.1536
468,STOLEN PROPERTY,13.3,4,0,0,0,67.8,34.2,6,ARP,3,5/29/16,1760,D,FT,R,6200,124,3,0.8437,5,-6.85E-02
468,BEAR'S ACCOUNTANT,3.2,1,8.4,5.2,3.2,67.8,34.2,6,ARP,3,5/29/16,1760,D,FT,R,6200,124,4,0.8702,2,-0.042
