1,OUTSIDE IN,27.6,7,0,0,0,EXA,156.6,QUI,0,12,APX,5,3,5/28/16,4/15/16,1870,O,FT,M
1,A LUCKY DREAM,44.6,8,0,0,0,EXA,156.6,QUI,0,12,APX,5,8,5/28/16,5/7/16,1870,O,FT,M
1,THEGHOSTBDANCING,44.6,5,0,0,0,EXA,156.6,QUI,0,12,APX,5,2,5/28/16,4/28/16,1870,O,FT,M
1,FLIPCUP,5.1,1,12.2,5.4,3.2,EXA,45.6,QUI,0,9,APX,6,8,5/28/16,12/12/15,1980,D,FT,G3
1,TIZ LATELY,37.9,7,0,0,0,EXA,45.6,QUI,0,9,APX,6,3,5/28/16,4/22/16,1980,D,FT,G3
1,BROOKLYNSWAY,2.3,3,0,0,2.6,EXA,45.6,QUI,0,9,APX,6,6,5/28/16,5/6/16,1980,D,FT,G3
1,BITTY KITTY,11.3,5,0,0,0,EXA,45.6,QUI,0,9,APX,6,10,5/28/16,11/21/15,1980,D,FT,G3
1,INNOVATIVE IDEA,22.7,9,0,0,0,EXA,45.6,QUI,0,9,APX,6,9,5/28/16,4/22/16,1980,D,FT,G3
1,NO FAULT OF MINE,1.8,2,0,3.6,2.6,EXA,45.6,QUI,0,9,APX,6,7,5/28/16,4/20/16,1980,D,FT,G3
1,CITY OF TRIX,36.1,4,0,0,0,EXA,45.6,QUI,0,9,APX,6,7,5/28/16,2/25/16,1980,D,FT,G3
1,ZUBI ZUBI ZU,13.9,8,0,0,0,EXA,45.6,QUI,0,9,APX,6,8,5/28/16,2/11/16,1980,D,FT,G3
1,SHE'S NOT HERE,5.7,6,0,0,0,EXA,45.6,QUI,0,9,APX,6,6,5/28/16,5/7/16,1980,D,FT,G3
1,TWO STEP TIME,11.1,4,0,0,0,EXA,46.2,QUI,0,11,APX,7,9,5/28/16,5/7/16,1870,T,YL,G3
1,ITSNOTEZBEINBREEZY,50.8,6,0,0,0,EXA,46.2,QUI,0,11,APX,7,7,5/28/16,5/6/16,1870,T,YL,G3
1,SURGICAL STRIKE,1.7,1,5.4,3.4,2.6,EXA,46.2,QUI,0,11,APX,7,9,5/28/16,5/7/16,1870,T,YL,G3
1,FELT IN POCKET,40.9,7,0,0,0,EXA,46.2,QUI,0,11,APX,7,8,5/28/16,4/14/16,1870,T,YL,G3
1,COCKED AND LOADED,6.9,11,0,0,0,EXA,46.2,QUI,0,11,APX,7,10,5/28/16,5/7/16,1870,T,YL,G3
1,UNCLE JERRY,33,10,0,0,0,EXA,46.2,QUI,0,11,APX,7,4,5/28/16,4/30/16,1870,T,YL,G3
1,CALL THE COLONEL,39.5,9,0,0,0,EXA,46.2,QUI,0,11,APX,7,2,5/28/16,5/7/16,1870,T,YL,G3
1,YO CARM,28.9,8,0,0,0,EXA,46.2,QUI,0,11,APX,7,9,5/28/16,4/16/16,1870,T,YL,G3
1,ONE MEAN MAN,10.7,2,0,8,5.6,EXA,46.2,QUI,0,11,APX,7,9,5/28/16,4/8/16,1870,T,YL,G3
1,SWAGGER JAGGER,7,3,0,0,4.8,EXA,46.2,QUI,0,11,APX,7,10,5/28/16,4/2/16,1870,T,YL,G3
1,TEQUILA JOE,2.3,5,0,0,0,EXA,46.2,QUI,0,11,APX,7,7,5/28/16,4/29/16,1870,T,YL,G3
1,BULL MARKET RICHIE,6.2,7,0,0,0,EXA,52.6,QUI,0,10,APX,8,1,5/28/16,5/7/16,1760,T,YL,R
1,TAPANNA,2.4,1,6.8,4,3.2,EXA,52.6,QUI,0,10,APX,8,1,5/28/16,4/27/16,1760,T,YL,R
1,MY BORSALINO,9.1,2,0,9,4.4,EXA,52.6,QUI,0,10,APX,8,8,5/28/16,5/13/16,1760,T,YL,R
