race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,track,RaceNum,Date,DistYrds,surface,TrackCondition,ClassDescriptor,Purse,Weight,PP,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
471,MISS YOU HOME,5.6,1,13.2,5.2,3.8,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,124,4,0.9002,1,2.28E-02
471,HOMERS WHISKEY GAL,9.7,5,0,0,0,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,124,5,0.8774,2,-2.28E-02
471,ELITE ROSE,10.6,6,0,0,0,52.8,24.8,6,ARP,5,5/29/16,1320,D,FT,C,6800,119,6,0.877,3,-2.32E-02
472,JILAS MIRACLE,2.7,1,7.4,4.2,2.6,33.8,17.2,7,ARP,6,5/29/16,1100,D,FT,C,7200,124,1,0.784,7,-0.1173
472,MANEWAL,4.2,2,0,5.2,3,33.8,17.2,7,ARP,6,5/29/16,1100,D,FT,C,7200,124,2,0.8044,6,-9.69E-02
472,COZY BAR,6,6,0,0,0,33.8,17.2,7,ARP,6,5/29/16,1100,D,FT,C,7200,124,3,0.8449,3,-0.0564
472,MADDIE'S GOLD,1.7,3,0,0,2.6,33.8,17.2,7,ARP,6,5/29/16,1100,D,FT,C,7200,124,4,0.8078,5,-9.35E-02
472,LA SORTA,10.7,7,0,0,0,33.8,17.2,7,ARP,6,5/29/16,1100,D,FT,C,7200,124,5,0.8822,2,-1.91E-02
472,CHIBITA,12.1,4,0,0,0,33.8,17.2,7,ARP,6,5/29/16,1100,D,FT,C,7200,124,6,0.841,4,-6.03E-02
472,TASSELMIN,7.7,5,0,0,0,33.8,17.2,7,ARP,6,5/29/16,1100,D,FT,C,7200,119,7,0.9013,1,1.91E-02
473,SENATE RULES,10.3,1,22.6,7,3.8,132.8,27.2,7,ARP,7,5/29/16,1760,D,FT,CO,14500,124,1,0.8452,4,-6.45E-02
