race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,track,RaceNum,Date,DistYrds,surface,TrackCondition,ClassDescriptor,Purse,Weight,PP,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
643,DADDY'S WILDFLOWER,11.8,5,0,0,0,105.8,0,6,APX,1,5/30/16,1320,D,FT,C,15000,114,1,0.9523,1,2.06E-02
643,SKYLARBDANCING,2.6,2,0,3.6,2.8,105.8,0,6,APX,1,5/30/16,1320,D,FT,C,15000,121,2,0.7391,6,-0.2132
643,ELIZABETH'S FEVER,7,6,0,0,0,105.8,0,6,APX,1,5/30/16,1320,D,FT,C,15000,121,3,0.8488,3,-0.1035
643,FLIRTIN N FLASHIN,6.7,4,0,0,0,105.8,0,6,APX,1,5/30/16,1320,D,FT,C,15000,121,4,0.9317,2,-2.06E-02
643,TINDERELLA,8.3,1,18.6,8,3.4,105.8,0,6,APX,1,5/30/16,1320,D,FT,C,15000,116,5,0.8416,4,-0.1107
643,FIONETTA,1,3,0,0,2.4,105.8,0,6,APX,1,5/30/16,1320,D,FT,C,15000,121,6,0.827,5,-0.1253
644,EXACTNESS,13.2,5,0,0,0,22.8,0,6,APX,2,5/30/16,1210,D,FT,C,11000,121,1,0.8335,4,-3.96E-02
644,MY JOKESTER,4,3,0,0,2.6,22.8,0,6,APX,2,5/30/16,1210,D,FT,C,11000,121,2,0.804,5,-6.91E-02
644,STANLEY'S FRIEND,3.8,4,0,0,0,22.8,0,6,APX,2,5/30/16,1210,D,FT,C,11000,121,3,0.8731,1,0
644,LEGEND FOREVER,12.6,6,0,0,0,22.8,0,6,APX,2,5/30/16,1210,D,FT,C,11000,121,4,0.8731,1,0
644,JESUIT WARRIOR,5.5,2,0,4.6,3,22.8,0,6,APX,2,5/30/16,1210,D,FT,C,11000,121,5,0.8671,3,-6.00E-03
644,BUDDONS,0.9,1,3.8,2.8,2.2,22.8,0,6,APX,2,5/30/16,1210,D,FT,C,11000,121,6,0.791,6,-8.21E-02
645,MICHAELS GIRL,1.1,1,4.2,2.6,2.4,21.2,0,5,APX,3,5/30/16,1870,D,FT,M,9800,119,1,0.8526,3,-3.32E-02
645,JACK N GINGER,1.9,3,0,0,2.2,21.2,0,5,APX,3,5/30/16,1870,D,FT,M,9800,124,2,0.8111,5,-0.0747
645,NORTHERN SWEET,9.3,4,0,0,0,21.2,0,5,APX,3,5/30/16,1870,D,FT,M,9800,119,3,0.8858,1,2.99E-02
645,DEBU'S TEMPLE,3.7,2,0,3.2,2.4,21.2,0,5,APX,3,5/30/16,1870,D,FT,M,9800,119,4,0.8484,4,-3.74E-02
645,ADUANERA,9.3,5,0,0,0,21.2,0,5,APX,3,5/30/16,1870,D,FT,M,9800,119,5,0.8559,2,-2.99E-02
646,KIT KAT MAN,6.9,6,0,0,0,79.4,0,7,APX,4,5/30/16,1760,D,FT,C,10000,121,1,0.9606,1,8.46E-02
