race_id,track,race_number,distance,surface,date_time,race_description,available_bets
0,APX,R1,8.5f,D,05-27-2016<br>13:15,FOR MAIDENS; THREE YEARS OLD  AND UPWARD ILLINOIS REGISTERED; CONCEIVED AND/OR F,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (1-2) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (1-3) $0.50 BRISNET.COM EARLY PICK 4 (RACES 1-4)
1,APX,R2,7.5f,D,05-27-2016<br>13:43,FOR FILLIES THREE YEARS OLD OR FILLIES AND MARES FOUR YEARS OLD AND UPWARD WHICH,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (2-3) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (RACES2-4)
2,APX,R3,8f,T,05-27-2016<br>14:11,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NEVER WON TWO RACES,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (3-4) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (3-5) /$0.20 JACKPOT PICK 6 (3-8) (15% TAKEOUT)
3,APX,R4,8.5f,D,05-27-2016<br>14:41,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $16;00,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (4-5) / $1 EXACTA / 0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (4-6) /$0.50 PICK 5 (4-8) (15% TAKEOUT)
4,APX,R5,8f,T,05-27-2016<br>15:12,FOR MAIDENS; THREE YEARS OLD  AND UPWARD ILLINOIS REGISTERED; CONCEIVED AND/OR F,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (5-6) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (5-7) /$0.50 TWINSPIRES.COM LATE PICK 4 (5-8)
5,APX,R6,8.5f,D,05-27-2016<br>15:43,FOR THREE YEAR OLDS OR FOUR YEAR OLDS AND UPWARD WHICH HAVE NEVER WON THREE RACE,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (6-7) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (6-8)
6,APX,R7,8.5f,T,05-27-2016<br>16:14,FOR THREE YEAR OLDS AND UPWARD. Three Year Olds; 119 lbs.; Older; 124 lbs. Non-w,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (7-8) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA
7,APX,R8,5f,T,05-27-2016<br>16:45,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $5;000,$2 WIN/PLACE/SHOW / $1 EXACTA / $0.50 TRIFECTA / $0.10 SUPERFECTA $0.20 JACKPOT HIGH-5 (15% TAKEOUT)
8,ASD,R1,5.5f,D,05-27-2016<br>17:30,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 119 lbs.; Older; 124 ,DAILY DOUBLE (RACES 1-2) / .20 PICK 3 (RACES 1-2-3) / .20 SUPERFECTA .20 TRIACTOR / EXACTOR / QUINELLA
9,ASD,R2,5f,D,05-27-2016<br>17:55,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NOT WON A RACE IN 2016. Three Year Old,.20 PICK 3 (RACES 2-3-4) / .20 SUPERFECTA / .20 TRIACTOR / EXACTOR / QUINELLA
