race_id,track,race_number,distance,surface,date_time,race_description,available_bets
643,APX,R1,6f,D,05-30-2016<br>11:15,FOR FILLIES THREE YEARS OLD OR FILLIES AND MARES FOUR YEARS OLD AND UPWARD WHICH,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (1-2) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (1-3) $0.50 BRISNET.COM EARLY PICK 4 (RACES 1-4)
644,APX,R2,5.5f,D,05-30-2016<br>11:46,FOR THREE YEAR OLDS AND UPWARD. Three Year Olds; 119 lbs.; Older; 124 lbs. Non-w,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (2-3) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (RACES2-4)
645,APX,R3,8.5f,D,05-30-2016<br>12:17,FOR MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 119,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (3-4) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (3-5) /$0.20 JACKPOT PICK 6 (3-8) (15% TAKEOUT)
646,APX,R4,8f,D,05-30-2016<br>12:48,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON FOUR RACES. Three Year Olds;,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (4-5) / $1 EXACTA / 0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (4-6) /$0.50 PICK 5 (4-8) (15% TAKEOUT)
647,APX,R5,8f,D,05-30-2016<br>13:19,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $5;000,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (5-6) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (5-7) /$0.50 TWINSPIRES.COM LATE PICK 4 (5-8)
648,APX,R6,8f,T,05-30-2016<br>13:50,FOR FILLIES THREE YEARS OLD OR FILLIES AND MARES FOUR YEARS OLD AND UPWARD WHICH,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (6-7) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (6-8)
649,APX,R7,5f,T,05-30-2016<br>14:21,FOR MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 119,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (7-8) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA
650,APX,R8,6f,D,05-30-2016<br>14:50,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON $9;800 TWICE OTHER THAN MAID,$2 WIN/PLACE/SHOW / $1 EXACTA / $0.50 TRIFECTA / $0.10 SUPERFECTA $0.20 JACKPOT HIGH-5 (15% TAKEOUT)
651,ARP,R1,4.5f,D,05-30-2016<br>12:00,FOR MAIDENS; FILLIES TWO YEARS OLD. Weight; 120 lbs.,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / 1ST HALF DAILY DOUBLE / TRIFECTA SUPERFECTA
652,ARP,R3,5.5f,D,05-30-2016<br>12:50,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NEVER WON TWO RACES,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / TRIFECTA / SUPERFECTA
