race_id,track,race_number,distance,surface,date_time,race_description,available_bets
179,APX,R1,4.5f,D,05-28-2016<br>11:15,FOR MAIDENS; FILLIES TWO YEARS OLD. Weight; 117 lbs.,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (1-2) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (1-3) $0.50 BRISNET.COM EARLY PICK 4 (RACES 1-4)
180,APX,R2,6.5f,D,05-28-2016<br>11:46,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NOT WON TWO RACES I,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (2-3) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (RACES2-4)
181,APX,R3,8.5f,T,05-28-2016<br>12:17,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NEVER WON $9;800 ON,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (3-4) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (3-5) /$0.20 JACKPOT PICK 6 (3-8) (15% TAKEOUT)
182,APX,R4,6.5f,D,05-28-2016<br>12:48,FOR MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWARD ILLINOIS REGISTERED; ,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (4-5) / $1 EXACTA / 0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (4-6) /$0.50 PICK 5 (4-8) (15% TAKEOUT)
183,APX,R5,8.5f,T,05-28-2016<br>13:19,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 119 lbs.; Older; 124 ,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (5-6) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (5-7) /$0.50 TWINSPIRES.COM LATE PICK 4 (5-8)
184,APX,R6,9f,D,05-28-2016<br>13:50,FOR FILLIES AND MARES; THREE-YEARS-OLD AND UPWARD.,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (6-7) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (6-8)
185,APX,R7,8.5f,T,05-28-2016<br>14:21,FOR THREE-YEAR-OLDS.,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (7-8) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA
186,APX,R8,8f,T,05-28-2016<br>14:50,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $8;000,$2 WIN/PLACE/SHOW / $1 EXACTA / $0.50 TRIFECTA / $0.10 SUPERFECTA $0.20 JACKPOT HIGH-5 (15% TAKEOUT)
187,ARP,R1,5f,D,05-28-2016<br>12:00,FOR COLORADO BRED THREE YEAR OLDS AND UPWARD WHICH HAVE NOT WON A RACE IN 2016 O,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / 1ST HALF DAILY DOUBLE / TRIFECTA SUPERFECTA
188,ARP,R2,4.5f,D,05-28-2016<br>12:25,FOR MAIDENS; TWO YEARS OLD. Weight; 120 lbs.,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / 2ND HALF DAILY DOUBLE / TRIFECTA SUPERFECTA
