Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPayFieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
MISS PINK DIVA,29.6,6,0,0,0,30.2,0,10,CDX,8,05-27-2016,1980,T,FM,A,52000,123,.7956,7,-.1199
CROOKED STICK,6.7,4,0,0,0,30.2,0,10,CDX,8,05-27-2016,1980,T,FM,A,52000,116,.9155,1,4.460001E-02
FREETHINKER,10.1,3,0,0,4.6,30.2,0,10,CDX,8,05-27-2016,1980,T,FM,A,52000,123,.817,6,-9.850001E-02
SISTER BLUES,3.7,5,0,0,0,30.2,0,10,CDX,8,05-27-2016,1980,T,FM,A,52000,123,.8413,5,-7.419997E-02
LILLY'S DREAM,21.7,7,0,0,0,30.2,0,10,CDX,8,05-27-2016,1980,T,FM,A,52000,116,.7695,8,-.146
LATENT PRINCESS,8.2,10,0,0,0,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,124,.8243,5,-6.510001E-02
CAROLINA JASMINE,4.4,1,10.8,6.4,6,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,124,.8586,3,-3.079998E-02
DON'T BOSS ME,9,8,0,0,0,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,118,.811,6,-7.840002E-02
FASHION NEWS,7.7,7,0,0,0,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,118,.8883,2,-1.100004E-03
GREELY'S STRIKER,33.7,6,0,0,0,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,117,.7356,8,-.1538
BELLATORI,1.9,4,0,0,0,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,118,.7975,7,-9.189999E-02
EURODEVILWOMAN,21.1,3,0,0,10,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,118,.7138,9,-.1756
ALITTLECOMPLICATED,59.1,5,0,0,0,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,118,.4628,10,-.4266
MAMA JOYCE,3.9,2,0,5.2,4.8,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,118,.856,4,-.0334
VERDIGRIS,11.1,9,0,0,0,47.8,0,10,CDX,9,05-27-2016,1430,D,FT,C,27000,124,.8894,1,1.100004E-03
CARDINAL GIRL,.9,2,0,2.6,2.2,30.6,0,6,CDX,1,05-28-2016,1870,D,FT,C,20000,120,.7864,6,-.1204
WILD ABOUT JACK,3.1,4,0,0,0,30.6,0,6,CDX,1,05-28-2016,1870,D,FT,C,20000,118,.8491,2,-5.769998E-02
I'M SO VAIN,4.2,3,0,0,2.8,30.6,0,6,CDX,1,05-28-2016,1870,D,FT,C,20000,118,.8398,4,-6.699997E-02
TELLALITTLESECRET,13.2,5,0,0,0,30.6,0,6,CDX,1,05-28-2016,1870,D,FT,C,20000,118,.8335,5,-7.329994E-02
WILL GRACIE SHINE,5.6,1,13.2,4.6,3.4,30.6,0,6,CDX,1,05-28-2016,1870,D,FT,C,20000,118,.9068,1,5.769998E-02
LOLA GETZ,24.3,6,0,0,0,30.6,0,6,CDX,1,05-28-2016,1870,D,FT,C,20000,118,.84,3,-.0668
TANZEN,8.2,1,18.4,7.2,4.6,138,0,6,CDX,2,05-28-2016,1540,D,FT,C,31000,124,.84,4,-3.070003E-02
MUTATION,3.5,4,0,0,0,138,0,6,CDX,2,05-28-2016,1540,D,FT,C,31000,124,.8235,5,-4.720002E-02
LONG STATION,1.9,5,0,0,0,138,0,6,CDX,2,05-28-2016,1540,D,FT,C,31000,124,.7949,6,-.0758
OH OZ,6.1,2,0,6.8,4,138,0,6,CDX,2,05-28-2016,1540,D,FT,C,31000,118,.8527,2,-1.800001E-02
TIZNOW R J,2.4,3,0,0,3,138,0,6,CDX,2,05-28-2016,1540,D,FT,C,31000,124,.8707,1,1.800001E-02
PHENOMENAL PHOENIX,7.1,6,0,0,0,138,0,6,CDX,2,05-28-2016,1540,D,FT,C,31000,124,.8489,3,-2.179998E-02
SHE MABEE WILD,14.3,6,0,0,0,64.6,0,6,CDX,3,05-28-2016,1540,D,FT,AO,56000,122,.9134,1,4.320002E-02
HEART'S SONG,4.9,3,0,0,3.6,64.6,0,6,CDX,3,05-28-2016,1540,D,FT,AO,56000,122,.8632,4,-5.019999E-02
DONITA'S RULER,2.7,5,0,0,0,64.6,0,6,CDX,3,05-28-2016,1540,D,FT,AO,56000,122,.78,5,-.1334
PRETTY FANCY,7.4,2,0,7.2,4.4,64.6,0,6,CDX,3,05-28-2016,1540,D,FT,AO,56000,122,.8702,2,-4.320002E-02
MAYLA,3.7,1,9.4,5.2,3.6,64.6,0,6,CDX,3,05-28-2016,1540,D,FT,AO,56000,122,.8643,3,-4.909998E-02
MESHELL,1.6,4,0,0,0,64.6,0,6,CDX,3,05-28-2016,1540,D,FT,AO,56000,122,.7748,6,-.1386
ELLIO,10.1,3,0,0,6.2,40.4,0,8,CDX,4,05-28-2016,1980,D,FT,C,17000,118,.8292,5,-6.599998E-02
NATIONAL DEFENCE,2.2,1,6.4,3.6,3,40.4,0,8,CDX,4,05-28-2016,1980,D,FT,C,17000,120,.807,7,-8.820003E-02
VINDICATED,2.3,4,0,0,0,40.4,0,8,CDX,4,05-28-2016,1980,D,FT,C,17000,118,.8342,4,-6.099999E-02
BOOMER SIX,8.8,2,0,6.4,4.8,40.4,0,8,CDX,4,05-28-2016,1980,D,FT,C,17000,118,.8702,2,-2.500004E-02
OCEAN ALLEY,12.9,8,0,0,0,40.4,0,8,CDX,4,05-28-2016,1980,D,FT,C,17000,118,.8952,1,2.500004E-02
BRIDDLE,21.2,6,0,0,0,40.4,0,8,CDX,4,05-28-2016,1980,D,FT,C,17000,118,.7504,8,-.1448
PERFECTLY AT HOME,13,5,0,0,0,40.4,0,8,CDX,4,05-28-2016,1980,D,FT,C,17000,111,.8106,6,-8.460003E-02
LONG TO WIN,3.2,7,0,0,0,40.4,0,8,CDX,4,05-28-2016,1980,D,FT,C,17000,118,.8366,3,-5.860001E-02
ATHENA GRANDE,2,5,0,0,0,106.6,0,7,CDX,5,05-28-2016,1320,D,FT,S,50000,116,.7551,6,-7.989997E-02
BIRD SENSE,4,3,0,0,3,106.6,0,7,CDX,5,05-28-2016,1320,D,FT,S,50000,122,.814,2,-2.099997E-02
TOP TIARA,6.2,7,0,0,0,106.6,0,7,CDX,5,05-28-2016,1320,D,FT,S,50000,116,.797,5,-3.799999E-02
STARLIGHT EXPRESS,13.2,2,0,12.8,5.6,106.6,0,7,CDX,5,05-28-2016,1320,D,FT,S,50000,116,.835,1,2.099997E-02
NORTHERN MICHIGAN,4.6,1,11.2,5.4,3.4,106.6,0,7,CDX,5,05-28-2016,1320,D,FT,S,50000,116,.8109,3,-2.410001E-02
BONNIE ARCH,25.4,6,0,0,0,106.6,0,7,CDX,5,05-28-2016,1320,D,FT,S,50000,116,.6706,7,-.1644
MISSSEVENTHIRTEEN,2.8,4,0,0,0,106.6,0,7,CDX,5,05-28-2016,1320,D,FT,S,50000,116,.8041,4,-.0309
AL'S GAL,.7,1,3.4,2.6,2.1,38.4,0,8,CDX,6,05-28-2016,2640,T,FM,N,65000,121,.8152,8,-.2394
TIZ KISMET,15.2,4,0,0,0,38.4,0,8,CDX,6,05-28-2016,2640,T,FM,N,65000,121,.8359,7,-.2187
SALAMA,6.4,3,0,0,4,38.4,0,8,CDX,6,05-28-2016,2640,T,FM,N,65000,121,.8858,5,-.1688
SAKONNET POINT,49.7,8,0,0,0,38.4,0,8,CDX,6,05-28-2016,2640,T,FM,N,65000,121,1.0546,1,.1183
SEQUIOTA,16.5,2,0,8.2,4.8,38.4,0,8,CDX,6,05-28-2016,2640,T,FM,N,65000,121,.8855,6,-.1691
STREET OF GOLD,7.9,5,0,0,0,38.4,0,8,CDX,6,05-28-2016,2640,T,FM,N,65000,121,.9363,2,-.1183
ANNULMENT,3.4,6,0,0,0,38.4,0,8,CDX,6,05-28-2016,2640,T,FM,N,65000,121,.8866,4,-.168
WEEKEND WISH,45.9,7,0,0,0,38.4,0,8,CDX,6,05-28-2016,2640,T,FM,N,65000,121,.9333,3,-.1213
SEA CLOUD,13.2,4,0,0,0,22,0,8,CDX,7,05-28-2016,1760,D,FT,S,50000,116,.7611,6,-.1596
SILVER REIGN,58.6,6,0,0,0,22,0,8,CDX,7,05-28-2016,1760,D,FT,S,50000,109,.4768,8,-.4439
TAPLESS,2.5,5,0,0,0,22,0,8,CDX,7,05-28-2016,1760,D,FT,S,50000,116,.7357,7,-.185
GARDEN GODDESS,22.1,8,0,0,0,22,0,8,CDX,7,05-28-2016,1760,D,FT,S,50000,116,.7669,5,-.1538
MOMMO,11.5,2,0,6.6,4.2,22,0,8,CDX,7,05-28-2016,1760,D,FT,S,50000,116,.895,3,-2.570003E-02
MINES AND MAGIC,.9,1,3.8,2.8,2.2,22,0,8,CDX,7,05-28-2016,1760,D,FT,S,50000,116,.7999,4,-.1208
CURRICULA,5.7,3,0,0,3.2,22,0,8,CDX,7,05-28-2016,1760,D,FT,S,50000,116,.9105,2,-1.020002E-02
FLATTER CHATTER,17.6,7,0,0,0,22,0,8,CDX,7,05-28-2016,1760,D,FT,S,50000,116,.9207,1,1.020002E-02
READY TO CONFESS,12.3,1,26.6,7.6,3.6,62.6,0,6,CDX,8,05-28-2016,1870,D,FT,A,54000,118,.8805,2,-4.079998E-02
TAXABLE,4,4,0,0,0,62.6,0,6,CDX,8,05-28-2016,1870,D,FT,A,54000,118,.7815,5,-.1398
DREAM DANCE,3,3,0,0,2.2,62.6,0,6,CDX,8,05-28-2016,1870,D,FT,A,54000,120,.82,3,-.1013
FAMILY TREE,.6,2,0,2.8,2.1,62.6,0,6,CDX,8,05-28-2016,1870,D,FT,A,54000,120,.8075,4,-.1138
AVISIONOFCHOCOLATE,33.8,6,0,0,0,62.6,0,6,CDX,8,05-28-2016,1870,D,FT,A,54000,118,.776,6,-.1453
EGYPTIAN HONEY,17.5,5,0,0,0,62.6,0,6,CDX,8,05-28-2016,1870,D,FT,A,54000,118,.9213,1,4.079998E-02
LEMON SONG,5.7,3,0,0,3.2,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.8911,3,-1.810002E-02
CANDY CRUSH,9.8,4,0,0,0,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.8759,6,-3.330004E-02
KITTEN'S ROAR,1.1,2,0,3.2,2.4,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.8293,8,-7.990003E-02
FIVE HEARTS,12.9,5,0,0,0,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.8771,5,-3.210002E-02
TELL ALL,32.9,10,0,0,0,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.7322,9,-.177
DYNAZAR,5.7,1,13.4,5,3.6,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.9092,1,1.520002E-02
TIAWE,80.3,8,0,0,0,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.3089,10,-.6003
GAMBLERS ROSE,13.9,9,0,0,0,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.894,2,-1.520002E-02
MISS OTIS,8.4,6,0,0,0,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,116,.8432,7,-6.599998E-02
WHY NOT BE QUEEN,11.3,7,0,0,0,38.8,0,10,CDX,9,05-28-2016,1760,T,FM,AO,54000,123,.8893,4,-1.990002E-02
FIORETTI,23.6,6,0,0,0,36.8,0,7,CDX,10,05-28-2016,1320,D,FT,G3,100000,122,.8462,4,-4.530001E-02
WRATH OF RUTHIE,12.3,7,0,0,0,36.8,0,7,CDX,10,05-28-2016,1320,D,FT,G3,100000,120,.8512,2,-4.030001E-02
DIVA EXPRESS,4.7,1,6,5.6,4.2,36.8,0,7,CDX,10,05-28-2016,1320,D,FT,G3,100000,120,.8459,5,-.0456
I'M A LOOKER,9.2,1,9.4,7.4,4.8,36.8,0,7,CDX,10,05-28-2016,1320,D,FT,G3,100000,120,.8486,3,-4.290003E-02
ENCHANTING LADY,.8,5,0,0,0,36.8,0,7,CDX,10,05-28-2016,1320,D,FT,G3,100000,120,.7468,7,-.1447
SPELLING AGAIN,4.1,3,0,0,3.2,36.8,0,7,CDX,10,05-28-2016,1320,D,FT,G3,100000,120,.7844,6,-.1071
SUPER SAKS,10.7,4,0,0,0,36.8,0,7,CDX,10,05-28-2016,1320,D,FT,G3,100000,122,.8915,1,4.030001E-02
FORECAST,2,7,0,0,0,28.8,0,7,CDX,11,05-28-2016,1760,D,FT,S,50000,116,.7575,5,-.1603
FRONT ROW DEBBIE,8.2,6,0,0,0,28.8,0,7,CDX,11,05-28-2016,1760,D,FT,S,50000,116,.771,4,-.1468
GRACE'S TREASURE,3.4,4,0,0,0,28.8,0,7,CDX,11,05-28-2016,1760,D,FT,S,50000,116,.9178,1,2.860004E-02
ETIQUETTE,30.5,3,0,0,8,28.8,0,7,CDX,11,05-28-2016,1760,D,FT,S,50000,123,.6615,7,-.2563
FUHRIOUSLY KISSED,4.4,1,10.8,4,3,28.8,0,7,CDX,11,05-28-2016,1760,D,FT,S,50000,116,.8613,3,-5.650002E-02
TELLING METZIE,14.2,5,0,0,0,28.8,0,7,CDX,11,05-28-2016,1760,D,FT,S,50000,116,.8892,2,-2.860004E-02
LINDA,2.5,2,0,3.6,2.8,28.8,0,7,CDX,11,05-28-2016,1760,D,FT,S,50000,116,.7389,6,-.1789
DISCREETLY YOURS,2.4,3,0,0,2.2,30,0,5,CDX,1,05-29-2016,1760,D,FT,C,18000,123,.8571,3,-.1106
FEAR THE KITTEN,5.7,4,0,0,0,30,0,5,CDX,1,05-29-2016,1760,D,FT,C,18000,123,.9058,2,-6.190002E-02
PIONEER JUSTICE,4.5,1,11,4,2.4,30,0,5,CDX,1,05-29-2016,1760,D,FT,C,18000,125,.8228,4,-.1449
SHOBIZ STAR,.8,2,0,2.4,2.1,30,0,5,CDX,1,05-29-2016,1760,D,FT,C,18000,123,.7533,5,-.2144
GIVEN THE ODDS,18.2,5,0,0,0,30,0,5,CDX,1,05-29-2016,1760,D,FT,C,18000,123,.9677,1,6.190002E-02
K ONE KOBRA,2.4,3,0,0,2.6,20.6,0,5,CDX,2,05-29-2016,1870,D,FT,C,18000,118,.869,1,3.080004E-02
SNUFFLE OVERBOARD,20.6,5,0,0,0,20.6,0,5,CDX,2,05-29-2016,1870,D,FT,C,18000,108,.823,3,-.046
BLUE GRASS ROAD,2.2,2,0,3.2,2.2,20.6,0,5,CDX,2,05-29-2016,1870,D,FT,C,18000,120,.7942,4,-7.480001E-02
BOLD ICE,2.6,1,7.2,3.8,2.6,20.6,0,5,CDX,2,05-29-2016,1870,D,FT,C,18000,118,.7596,5,-.1094
KEEPINYOURCHINUP,2.3,4,0,0,0,20.6,0,5,CDX,2,05-29-2016,1870,D,FT,C,18000,111,.8382,2,-3.080004E-02
HANG ON ANNIE,2,5,0,0,0,61.6,0,6,CDX,3,05-29-2016,1760,D,FT,M,28000,118,.7668,4,-.1003
LETA PTICA,2.5,1,7,4,2.8,61.6,0,6,CDX,3,05-29-2016,1760,D,FT,M,28000,118,.7354,6,-.1317
FOLLOWING A DREAM,4.6,6,0,0,0,61.6,0,6,CDX,3,05-29-2016,1760,D,FT,M,28000,118,.8282,3,-3.890002E-02
TEMPLE TANTRUM,2.6,4,0,0,0,61.6,0,6,CDX,3,05-29-2016,1760,D,FT,M,28000,125,.7589,5,-.1082
RUBY OUSHANI,9.6,3,0,0,4.2,61.6,0,6,CDX,3,05-29-2016,1760,D,FT,M,28000,111,.8671,1,3.600001E-03
STARSOF THE NILE,15.8,2,0,11.8,4.8,61.6,0,6,CDX,3,05-29-2016,1760,D,FT,M,28000,115,.8635,2,-3.600001E-03
WOODMANS LUCK,4.9,7,0,0,0,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.8484,2,-1.399994E-03
LIEUTENANT SEANY O,32.5,6,0,0,0,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.7303,8,-.1195
CEDAR CREEK,2.5,2,0,4.4,4.2,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.7336,7,-.1162
CROWN THE KITTEN,1.9,4,0,0,0,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.7813,4,-6.849998E-02
PURPLE SKY,19.2,8,0,0,0,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.709,9,-.1408
NEXT EVENT,4.5,5,0,0,0,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.786,3,-6.379998E-02
MR. CHOW,20,3,0,0,8.8,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.735,6,-.1148
ABOVE THE BAR,21.3,1,44.6,14.8,8.4,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.7694,5,-8.039999E-02
CY SEVEN,13,9,0,0,0,210.4,0,9,CDX,4,05-29-2016,1760,T,FM,C,39000,119,.8498,1,1.399994E-03
GOATS TOWN,4.7,3,0,0,3,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,116,.8482,3,-2.769995E-02
PONTASTIC,28.6,7,0,0,0,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,116,.7548,7,-.1210999
ZANOTTI,19.8,6,0,0,0,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,116,.7384,9,-.1375
TRADFEST,17.7,9,0,0,0,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,116,.8247,4,-5.119997E-02
BIRD SONG,4.6,4,0,0,0,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,116,.8198,5,-5.609995E-02
JIMBO FALLON,1.3,2,0,2.8,2.6,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,123,.7887,6,-8.719999E-02
KAPELLMEISTER,19.9,8,0,0,0,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,116,.7399,8,-.136
SEEKING THE SOUL,3.3,1,8.6,4,3,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,116,.8759,1,2.179998E-02
TAPSTER,37.3,5,0,0,0,20.2,0,9,CDX,5,05-29-2016,1760,D,FT,S,50000,109,.8541,2,-2.179998E-02
NAN'S PIERCE ARROW,17.1,3,0,0,7.6,45.6,0,7,CDX,6,05-29-2016,1870,D,FT,M,22000,125,.8905,1,8.400023E-03
NOMINAL DOLLARS,2.6,1,7.2,3.6,3.4,45.6,0,7,CDX,6,05-29-2016,1870,D,FT,M,22000,118,.7567,7,-.1338
HANDIWORK,9,2,0,7.4,5,45.6,0,7,CDX,6,05-29-2016,1870,D,FT,M,22000,118,.818,6,-7.249999E-02
SAY HEY KID,1.1,5,0,0,0,45.6,0,7,CDX,6,05-29-2016,1870,D,FT,M,22000,118,.8516,3,-3.890002E-02
MEMORIAL BLUE,22.4,7,0,0,0,45.6,0,7,CDX,6,05-29-2016,1870,D,FT,M,22000,118,.8213,5,-6.919998E-02
HUNDRED YEARS,11.2,4,0,0,0,45.6,0,7,CDX,6,05-29-2016,1870,D,FT,M,22000,118,.8821,2,-8.400023E-03
INCOMING,4.2,6,0,0,0,45.6,0,7,CDX,6,05-29-2016,1870,D,FT,M,22000,118,.8232,4,-6.730002E-02
MADTAP,6.7,3,0,0,4.2,95.2,0,8,CDX,7,05-29-2016,1760,T,FM,A,54000,118,.9279,1,1.960003E-02
LOMCEVAK,9,1,20,6.8,5,95.2,0,8,CDX,7,05-29-2016,1760,T,FM,A,54000,118,.816,7,-.1119
EKATI WARRIOR,17.2,8,0,0,0,95.2,0,8,CDX,7,05-29-2016,1760,T,FM,A,54000,118,.9009,3,-2.700001E-02
CELESTIAL INSIGHT,5.2,7,0,0,0,95.2,0,8,CDX,7,05-29-2016,1760,T,FM,A,54000,113,.8376,5,-9.030002E-02
CUTACORNER,14.5,6,0,0,0,95.2,0,8,CDX,7,05-29-2016,1760,T,FM,A,54000,118,.9083,2,-1.960003E-02
UNCLE BRENNIE,2.4,2,0,4.6,3,95.2,0,8,CDX,7,05-29-2016,1760,T,FM,A,54000,118,.8592,4,-6.870002E-02
UNCLE MO MONEY,12,4,0,0,0,95.2,0,8,CDX,7,05-29-2016,1760,T,FM,A,54000,118,.8164,6,-.1115
CANDY MY BOY,1.9,5,0,0,0,95.2,0,8,CDX,7,05-29-2016,1760,T,FM,A,54000,118,.81,8,-.1179
MAJESTIC HEIR,8.8,6,0,0,0,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,116,.8859,2,-2.499998E-02
COLONEL DAN,6.7,1,15.4,6.6,4.6,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,116,.9109,1,2.499998E-02
STAR QUALITY,1.9,2,0,3.8,2.8,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,123,.7926,8,-.1183
CUPERTINO,30.9,7,0,0,0,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,123,.6763,9,-.2346
BURNTWOOD,2.3,4,0,0,0,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,116,.8293,6,-8.160001E-02
CANDY WRAPPER,8.1,5,0,0,0,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,116,.8308,5,-.0801
RUNNING BACK,9.1,3,0,0,4.6,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,116,.8262,7,-8.469999E-02
KEENE SENSE,41.6,9,0,0,0,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,116,.835,4,-7.590002E-02
DIVISIVE,12.7,8,0,0,0,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,116,.8658,3,-4.509997E-02
MALONE'S EMPIRE,73.8,10,0,0,0,54.4,0,10,CDX,8,05-29-2016,1760,D,FT,S,50000,109,.5386,10,-.3723
STRADIVARIUS,9.1,2,0,9.6,5.8,80,0,8,CDX,9,05-29-2016,1540,D,FT,AO,52000,118,.8211,3,-.1344
MODIFY,3.5,5,0,0,0,80,0,8,CDX,9,05-29-2016,1540,D,FT,AO,52000,122,.8114,4,-.1441
SPEIGHTSTASTIC,18.5,7,0,0,0,80,0,8,CDX,9,05-29-2016,1540,D,FT,AO,52000,118,.9555,1,7.240003E-02
DEAR ELAINE,2.7,1,7.4,4,4,80,0,8,CDX,9,05-29-2016,1540,D,FT,AO,52000,122,.7759,7,-.1796
LOUGH NESS,26.5,8,0,0,0,80,0,8,CDX,9,05-29-2016,1540,D,FT,AO,52000,118,.7893,6,-.1662
ROYAL STORY,14.2,4,0,0,0,80,0,8,CDX,9,05-29-2016,1540,D,FT,AO,52000,118,.8831,2,-7.240003E-02
PUT DA BLAME ON ME,2.6,3,0,0,3,80,0,8,CDX,9,05-29-2016,1540,D,FT,AO,52000,118,.7528,8,-.2027
DIVINE ELEGANCE,4,6,0,0,0,80,0,8,CDX,9,05-29-2016,1540,D,FT,AO,52000,118,.791,5,-.1645
SEE THE BIRD,18.1,8,0,0,0,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,118,.9283,2,-1.109999E-02
SEEING'N'BELIEVING,8.8,5,0,0,0,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,118,.8889,3,-5.050004E-02
FIRST HERITAGE,5.3,6,0,0,0,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,116,.8259,6,-.1135
BEELINE,1.7,2,0,3.2,3,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,125,.817,7,-.1224
KITTEN DANCE,6.7,4,0,0,0,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,125,.9394,1,1.109999E-02
DISONES PRETTY,12.4,9,0,0,0,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,123,.8656,5,-7.380003E-02
ANGEL HAZE,8.4,3,0,0,4.2,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,125,.8667,4,-7.270002E-02
BLUEGRASS SPECIAL,4.5,1,11,4.6,3,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,125,.7799,8,-.1595
GREELY'S COMET,21.7,7,0,0,0,34.8,0,9,CDX,10,05-29-2016,1760,T,FM,C,27000,118,.7536,9,-.1858
GINGERMORE,5.1,3,0,0,4,168.8,0,7,CDX,1,05-30-2016,1540,D,FT,C,23000,124,.8259,6,-.1521
SCADADLE,.6,5,0,0,0,168.8,0,7,CDX,1,05-30-2016,1540,D,FT,C,23000,124,.7645,7,-.2135
SHE'S MESSI,28.1,6,0,0,0,168.8,0,7,CDX,1,05-30-2016,1540,D,FT,C,23000,124,.841,5,-.137
I AM SUPERIOR TOO,6.9,2,0,8.8,5,168.8,0,7,CDX,1,05-30-2016,1540,D,FT,C,23000,124,.978,1,8.79997E-03
OLLIEMAE,48.2,7,0,0,0,168.8,0,7,CDX,1,05-30-2016,1540,D,FT,C,23000,124,.9692,2,-8.79997E-03
SEE THROUGH,4.8,4,0,0,0,168.8,0,7,CDX,1,05-30-2016,1540,D,FT,C,23000,114,.8549,4,-.1231
GOTIT TODO,11.4,1,24.8,12.6,6.6,168.8,0,7,CDX,1,05-30-2016,1540,D,FT,C,23000,124,.9027,3,-7.529998E-02
GREELEYS CHARM,31.1,4,0,0,0,8,0,6,CDX,2,05-30-2016,1760,D,FT,M,28000,118,.5682,6,-.3401
WILL DID IT,4,2,0,3.4,2.1,8,0,6,CDX,2,05-30-2016,1760,D,FT,M,28000,125,.8015,3,-.1068
SAINT IGNATIUS,4.6,3,0,0,2.2,8,0,6,CDX,2,05-30-2016,1760,D,FT,M,28000,118,.8305,2,-7.779998E-02
PURELY GRATEFUL,7.7,5,0,0,0,8,0,6,CDX,2,05-30-2016,1760,D,FT,M,28000,125,.9083,1,7.779998E-02
CONQUEST WAR CRY,.6,1,3.2,2.2,2.1,8,0,6,CDX,2,05-30-2016,1760,D,FT,M,28000,125,.7979,4,-.1104
BLAME MIKE,12.5,6,0,0,0,8,0,6,CDX,2,05-30-2016,1760,D,FT,M,28000,118,.783,5,-.1253
MORE THAN NOBLE,6,4,0,0,0,26,0,6,CDX,3,05-30-2016,1540,D,FT,R,20000,118,.861,4,-1.120001E-02
GERMAINE'S BOY,15.9,6,0,0,0,26,0,6,CDX,3,05-30-2016,1540,D,FT,R,20000,118,.8636,3,-8.599997E-03
ORE PASS,3.9,5,0,0,0,26,0,6,CDX,3,05-30-2016,1540,D,FT,R,20000,120,.8722,1,4.400015E-03
JOHN GORDON,1.4,2,0,2.8,2.2,26,0,6,CDX,3,05-30-2016,1540,D,FT,R,20000,120,.7894,6,-8.280003E-02
BUCK MAGIC,4.4,3,0,0,3.2,26,0,6,CDX,3,05-30-2016,1540,D,FT,R,20000,120,.8678,2,-4.400015E-03
BAD STUDENT,3.7,1,9.4,4.4,3,26,0,6,CDX,3,05-30-2016,1540,D,FT,R,20000,120,.8563,5,-1.590002E-02
GROUND FORCE,3,4,0,0,0,38.4,0,6,CDX,4,05-30-2016,1320,D,FT,C,32000,118,.82,5,-9.439999E-02
RUN WITH HONOR,6.2,3,0,0,3.6,38.4,0,6,CDX,4,05-30-2016,1320,D,FT,C,32000,118,.8525,4,-6.189996E-02
MADELYN'S WILD MAX,3.2,1,8.4,4,3.4,38.4,0,6,CDX,4,05-30-2016,1320,D,FT,C,32000,118,.856,3,-5.839998E-02
